text_original,text_preprocessed,len_original,len_preprocessed,reduction_pct
"egiluyyy, jujur enakk bangatt! worth it untuk dicobaaa temann-teman ketika berkunjung ke jogjaa. bakal kangenn banget sehh",egiluyyy jujur enakk bangatt worth it dicobaaa temann teman kunjung jogjaa bakal kangenn banget sehh,17,15,11.76470588235294
ENAK BGTTTTTT 🥰❤️❤️❤️,enak bgtttttt,3,2,33.33333333333333
enaaakk. porsi pas. rasa pas. tempatnya juga homey bangeett. semua staff ramah!,enaaakk porsi pas rasa pas tempat homey bangeett semua staff ramah,12,11,8.333333333333332
Rasanya mantap,rasa mantap,2,2,0.0
"Cozy place to eat, kalau bingung mau makan apa ini selalu jadi pilihan. Mienya selalu enak dengan topping beragam ditambah lagi pilihan nasinya sekarang juga gak kalah banyaak.

My favorite will be Mie dengan topping katsunyaa ✨✨✨✨",cozy place to eat kalau bingung mau makan apa selalu jadi pilih mienya selalu enak topping agam tambah pilih nasi sekarang tidak kalah banyaak my favorite will be mie topping katsunyaa,37,31,16.216216216216218
"Tempatnya enak adem n bersih, makanannyaa jugaa enaakkk banget mbak-mbaknya ramah, seruu sama mas-masnya juga",tempat enak adem n bersih makanannyaa jugaa enaakkk banget mbak mbak ramah seruu sama mas mas,15,16,-6.666666666666667
"Mienya enak banget! Teksturnya kenyal, bumbunya gurih pas, dan ayam katsunya garing di luar tapi lembut di dalam. Porsinya pas dan ngenyangin, disajikan masih hangat jadi makin nikmat. Katsunya tebel dan rasanya seimbang antara gurih dan sedikit manis. Tempatnya juga bersih dan nyaman, pelayanannya cepat dan ramah. Harganya sesuai sama rasa, recommended!",mienya enak banget tekstur kenyal bumbu gurih pas ayam katsunya garing luar lembut dalam porsi pas ngenyangin saji hangat jadi makin nikmat katsunya tebel rasa imbang gurih sedikit manis tempat bersih nyaman layan cepat ramah harga sesuai sama rasa rekomendasi,52,40,23.076923076923077
"Selalu Langganan, tempatnya cozy dan makanannya enak sekali. TERIMAKASIHHH",selalu langgan tempat cozy makan enak sekali terimakasihhh,9,8,11.11111111111111
"Makanan nya enak, suasana nya nyaman ditambah lagi lagu nya nya yang asik, pelayanan nya juga ramah suka senyum",makan nya enak suasana nya nyaman tambah lagu nya nya asik layan nya ramah suka senyum,19,16,15.789473684210526
"Makanan nya enak, lagu nya enak juga bikin suasana jadi asik+nyaman, terus pelayanan nya juga ramahh",makan nya enak lagu nya enak bikin suasana jadi asik nyaman terus layan nya ramahh,16,15,6.25
"Makanan nya enak,.. tempatnya cozy",makan nya enak tempat cozy,5,5,0.0
